begin_dt,end_dt,h0,hend,cloudtype,notes,extra
20141101235959,20141103000001,0,10,?,?,?
20141019142000,20141019161000,0,6,MPC,small patchy SCL layers ,
20141116235900,20141118133100,0,10,?,?,?
20141005000000,20141118150100,0,12,?,?,?
20141116235900,20141117090100,0,10,?,?,?
20141005000000,20141030015000,0,12,?,?,?
20141005000000,20141005015000,0,11,MPC +  DRIZ +  LLLC +  CIR,DRIZ cloud with CT at 5km ALT +  target class. vert. stripes ,no reliable LWP
20141005060000,20141005100000,0,11,LLLC +  STRAT,thick LLLC below 2km + SCL in cloud above?,no reliable LWP
20141005103000,20141005235955,0,10,LLLC +  MPC +  CIR,multiple cloud layers +  good ANN scenario,no reliable LWP
20141006000000,20141006020000,0,4,LLLC +  DRIZ,LLLC incl. DRIZ periods +  all above freezing point,
20141006093000,20141006140000,0,11,LLLC +  DRIZ +  CIR,LLLC with rising CT still below 2km +  some DRIZ periods,
20141006140000,20141006213000,0,11,LLLC +  DRIZ +  DCS +  MPC,multiple cloud types with some SCL at 6-7km ALT, including some periods of DRIZ
20141007000000,20141007030000,0,11,DCS +  MPC,DCS backside +  MPC afte 0200UTC at 3km ALT,no reliable LWP
20141007033000,20141007061500,0,1,LLLC,LLLC with CT below 1km +  no DRIZ,
20141007061500,20141007153000,0,8,CONV +  MPC,multple convectiv systems CT between 3.5-7.5 km ALT +  lots of DRIZ periods,
20141007160000,20141007190000,0,7,STRAT,cloud with prob. SCL +  ANN predicts lots of SCL - cloudnet almost none,very low LWP?
20141008020000,20141008083000,0,10,LLLC +  MPC +  STRAT,multiple cloud layers +  good ANN scenario +  MPC CT at 4km and above STRAT cloud --> dev. DCS,
20141008020000,20141008083000,0,5,LLLC +  MPC +  STRAT,multiple cloud layers +  good ANN scenario +  MPC CT at 4km and above STRAT cloud --> dev. DCS +  same case as above but only up to 5km ALT,
20141008083000,20141008094000,0,10,DCS,DCS with some CD and SCL detected by cloudnet,almost no LWP
20141009000000,20141009000000,,,,,no ANN output
20141010000000,20141010000000,,,,,no ANN output
20141011000000,20141011000000,,,,,no ANN output
20141012000000,20141012000000,,,,,no ANN output
20141013000000,20141013063000,0,11,LLLC +  MPC,LLLC at beginning +  multiple cloud layers at 0200UTC,
20141013063000,20141013090000,0,9,CONV +  DRIZ +  MPC,convective system with MPC detected by cloudnet +  lots of DRIZ,
20141013093000,20141013120000,0,2,LLLC +  MPC +  DRIZ,long  LLLC with CT below 2km +  multilayer above 4km ALT,
20141013093000,20141013235955,0,3,LLLC,same time frame from above but only looking at LLLC with some DRIZ periods,good LWP
20141014023000,20141014110000,0,4,MPC +  DRIZ,MPC supercooled CT below 3km +  lots of vertical stripes in target classification +  ,
20141014110000,20141014183000,0,3,DRIZZ +  LLLC,much DRIZ +  vertical stripes in target classification,
20141014183000,20141014235955,0,3,DRIZZ +  MPC +  LLLC,MPC supercooled CT below 3km +  lots of vertical stripes in target classification +  ,
